time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,0.0,8.03,1.93,0.0
20230101:0130,0.0,0.0,0.0,-3.58,7.57,1.93,0.0
20230101:0230,0.0,17.07,4.8,8.05,7.15,1.86,0.0
20230101:0330,6.56,50.07,25.68,18.67,9.06,1.17,0.0
20230101:0430,147.69,53.91,45.88,27.76,12.47,1.03,0.0
20230101:0530,311.37,72.42,58.23,34.53,15.28,0.83,0.0
20230101:0630,471.14,88.4,64.3,38.06,17.21,0.62,0.0
20230101:0730,595.58,108.09,63.41,37.7,18.09,0.76,0.0
20230101:0830,669.78,120.88,55.5,33.51,18.76,0.69,0.0
20230101:0930,640.77,141.06,41.5,26.24,19.09,0.83,0.0
20230101:1030,507.26,130.11,23.37,16.83,19.05,1.1,0.0
20230101:1130,286.03,77.3,6.39,5.99,18.63,1.17,0.0
20230101:1230,0.0,0.0,0.0,0.0,17.48,1.38,0.0
20230101:1330,0.0,0.0,0.0,0.0,15.89,1.59,0.0
20230101:1430,0.0,0.0,0.0,0.0,14.23,1.72,0.0
20230101:1530,0.0,0.0,0.0,0.0,12.74,1.86,0.0
20230101:1630,0.0,0.0,0.0,0.0,11.51,1.93,0.0
20230101:1730,0.0,0.0,0.0,0.0,10.44,1.86,0.0
20230101:1830,0.0,0.0,0.0,0.0,9.58,1.79,0.0
20230101:1930,0.0,0.0,0.0,0.0,9.9,1.45,0.0
20230101:2030,0.0,0.0,0.0,0.0,9.6,1.45,0.0
20230101:2130,0.0,0.0,0.0,0.0,9.65,1.24,0.0
20230101:2230,0.0,0.0,0.0,0.0,10.34,0.83,0.0
20230101:2330,0.0,0.0,0.0,0.0,10.71,0.76,0.0
20230102:0030,0.0,0.0,0.0,0.0,10.17,0.83,0.0
20230102:0130,0.0,0.0,0.0,-3.62,10.31,0.76,0.0
20230102:0230,0.0,12.07,3.39,8.02,10.38,0.62,0.0
20230102:0330,6.41,35.28,25.29,18.66,10.88,0.34,0.0
20230102:0430,103.44,76.56,39.07,27.77,14.46,0.41,0.0
20230102:0530,242.17,102.9,52.38,34.57,16.21,0.48,0.0
20230102:0630,461.17,93.64,64.1,38.14,16.97,0.14,0.0
20230102:0730,575.62,109.19,62.13,37.8,17.42,0.62,0.0
20230102:0830,649.85,114.94,54.03,33.63,17.94,0.9,0.0
20230102:0930,649.8,133.84,41.58,26.37,18.16,1.24,0.0
20230102:1030,578.84,127.76,24.97,16.96,18.13,1.45,0.0
20230102:1130,375.46,86.31,7.2,6.12,17.65,1.31,0.0
20230102:1230,0.0,0.0,0.0,0.0,16.58,1.17,0.0
20230102:1330,0.0,0.0,0.0,0.0,15.02,1.31,0.0
20230102:1430,0.0,0.0,0.0,0.0,13.46,1.38,0.0
20230102:1530,0.0,0.0,0.0,0.0,11.82,1.45,0.0
20230102:1630,0.0,0.0,0.0,0.0,10.85,1.38,0.0
20230102:1730,0.0,0.0,0.0,0.0,10.06,1.45,0.0
20230102:1830,0.0,0.0,0.0,0.0,9.28,1.52,0.0
20230102:1930,0.0,0.0,0.0,0.0,10.66,0.07,0.0
20230102:2030,0.0,0.0,0.0,0.0,10.23,0.07,0.0
20230102:2130,0.0,0.0,0.0,0.0,9.77,0.21,0.0
20230102:2230,0.0,0.0,0.0,0.0,9.25,0.34,0.0
20230102:2330,0.0,0.0,0.0,0.0,8.72,0.69,0.0
20230103:0030,0.0,0.0,0.0,0.0,7.7,1.03,0.0
20230103:0130,0.0,0.0,0.0,-3.67,6.2,1.38,0.0
20230103:0230,0.0,13.96,3.92,7.99,5.37,1.66,0.0
20230103:0330,6.14,31.24,28.37,18.65,8.06,0.97,0.0
20230103:0430,140.99,54.75,45.35,27.78,12.38,0.97,0.0
20230103:0530,299.85,75.82,57.67,34.62,14.98,1.03,0.0
20230103:0630,338.89,119.01,54.23,38.22,16.35,0.9,0.0
20230103:0730,521.81,125.63,59.63,37.91,16.15,0.9,0.0
20230103:0830,516.45,143.7,48.87,33.76,16.81,1.1,0.0
20230103:0930,591.51,134.21,39.44,26.51,17.12,1.31,0.0
20230103:1030,582.97,128.79,25.32,17.1,17.11,1.59,0.0
20230103:1130,374.44,85.98,7.33,6.26,16.78,1.86,0.0
20230103:1230,0.0,0.0,0.0,-5.52,15.37,2.21,0.0
20230103:1330,0.0,0.0,0.0,0.0,13.31,2.55,0.0
20230103:1430,0.0,0.0,0.0,0.0,12.03,2.62,0.0
20230103:1530,0.0,0.0,0.0,0.0,11.12,2.55,0.0
20230103:1630,0.0,0.0,0.0,0.0,10.36,2.62,0.0
20230103:1730,0.0,0.0,0.0,0.0,9.72,2.62,0.0
20230103:1830,0.0,0.0,0.0,0.0,9.13,2.62,0.0
20230103:1930,0.0,0.0,0.0,0.0,8.38,2.48,0.0
20230103:2030,0.0,0.0,0.0,0.0,7.87,2.48,0.0
20230103:2130,0.0,0.0,0.0,0.0,7.53,2.48,0.0
20230103:2230,0.0,0.0,0.0,0.0,7.11,2.48,0.0
20230103:2330,0.0,0.0,0.0,0.0,6.76,2.48,0.0
20230104:0030,0.0,0.0,0.0,0.0,6.45,2.41,0.0
20230104:0130,0.0,0.0,0.0,-3.7,6.14,2.28,0.0
20230104:0230,0.0,14.01,3.93,7.97,5.76,2.21,0.0
20230104:0330,4.65,30.55,29.07,18.65,7.42,1.86,0.0
20230104:0430,143.71,53.2,46.39,27.81,10.61,2.14,0.0
20230104:0530,308.09,72.94,58.97,34.67,13.27,2.07,0.0
20230104:0630,457.96,97.75,64.89,38.31,15.44,2.07,0.0
20230104:0730,605.26,106.77,64.98,38.03,15.75,1.45,0.0
20230104:0830,693.98,119.16,57.66,33.89,16.69,1.31,0.0
20230104:0930,709.01,128.97,44.23,26.65,17.17,1.38,0.0
20230104:1030,618.81,129.02,26.39,17.24,17.24,1.66,0.0
20230104:1130,398.43,91.96,7.82,6.4,16.85,1.86,0.0
20230104:1230,0.0,0.0,0.0,-5.38,15.23,2.34,0.0
20230104:1330,0.0,0.0,0.0,0.0,13.05,2.62,0.0
20230104:1430,0.0,0.0,0.0,0.0,11.65,2.55,0.0
20230104:1530,0.0,0.0,0.0,0.0,10.63,2.48,0.0
